課程編號,課程名稱,上課日,開課日期,上/下午,上課時間,課程,每課,費用,會員費用,狀況
KD30005,Arduino 進階課程,星期四,10月28日,晚上,7:00-10:00,全期6課,3小時,1030元,927元,可接受報名
LE30066,成衣價格結構研習班,星期五,11月19日,晚上,7:00-10:00,全期3課,3小時,440元,396元,可接受報名
KI30103B,職業鎖匠班,星期一,11月01日,晚上,7:00-8:30,全期8課,1小時30分,2600元,2340元,可接受報名
KI30106,專業鎖匠訓練課程 (主匙),星期一,11月01日,晚上,8:45-10:15,全期4課,1小時30分,1680元,1512元,可接受報名
KK30114,機械鐘錶維修進階,星期日,10月24日,下午,1:15-2:45,全期6課,1小時30分,480元,432元,可接受報名
KK30118B,防盜系統安裝及設計應用課程,星期三,10月20日,晚上,7:00-10:00,全期5課,3小時,2000元,1800元,可接受報名
KH30119,閉路電視証書課程,星期日,10月24日,上午,11:10-1:40,全期5課,2小時30分,750元,675元,可接受報名
KF30131,遊樂船隻二級操作人乙部考試研習速成,星期五,10月29日,晚上,7:00-10:00,全期6課,3小時,1010元,909元,網上名額已滿
KK30009B,機器人應用體驗課程,星期六,10月23日,下午,2:30-5:30,全期2課,3小時,480元,432元,可接受報名
LE30073,紡織品測試知識課程,星期日,11月07日,下午,2:00-5:00,全期8課,3小時,1230元,1107元,可接受報名
KV30104,專業鎖匠訓練課程 (開鎖),星期六,12月04日,晚上,8:15-10:15,全期10課,2小時,4140元,3726元,網上名額已滿
KK30109,電子門鎖課程,星期四,11月18日,晚上,8:15-10:15,全期4課,2小時,1980元,1782元,網上名額已滿
KE30118,防盜系統安裝及設計應用課程 *,星期三,10月20日,晚上,6:45-9:45,全期5課,3小時,2000元,1800元,課程已取消
KV30118,防盜系統安裝及設計應用課程 *,星期二,10月19日,晚上,6:45-9:45,全期5課,3小時,2000元,1800元,課程已取消
NK30123BQ,智能家居系統入門,星期六,10月30日,上午,10:00-5:00,全期12課,1小時30分,980元,882元,可接受報名
KZ30131,遊樂船隻二級操作人乙部考試研習速成,星期日,10月24日,晚上,7:00-10:00,全期6課,3小時,1010元,909元,網上名額已滿
KB30143,電工(Ａ牌)筆試測驗應試班,星期一,10月18日,晚上,8:30-10:00,全期6課,1小時30分,420元,378元,可接受報名
KD30147DQ,電工技術初階,星期三,10月27日,晚上,6:50-9:50,全期12課,1小時30分,820元,738元,網上名額已滿
NK30147BQ,電工技術初階,星期一,10月25日,晚上,7:00-10:00,全期12課,1小時30分,820元,738元,可接受報名
NK30148BQ,電工技術進階,星期二,12月07日,晚上,7:00-10:00,全期12課,1小時30分,840元,756元,可接受報名
NK30148DQ,電工技術進階,星期日,10月24日,上午,10:00-5:00,全期12課,1小時30分,840元,756元,不接受網上報名
KD30156,環保能源(太陽能)應用實習,星期日,11月14日,上午,10:00-5:00,全期1課,6小時,430元,387元,可接受報名
NK30158AQ,電力工程測試及儀表使用課程,星期日,12月05日,上午,10:00-4:00,全期6課,2小時30分,790元,711元,可接受報名
NK30141BQ,電工(Ａ牌)技能測驗研習班,星期四,11月04日,下午,2:00-5:00,全期12課,1小時30分,820元,738元,可接受報名
NK30143BQ,電工(Ａ牌)筆試測驗應試班,星期四,11月04日,上午,10:00-1:00,全期6課,1小時30分,420元,378元,可接受報名
KJ30147EQ,電工技術初階,星期四,11月04日,晚上,7:00-10:00,全期12課,1小時30分,820元,738元,網上名額已滿
NK30147CQ,電工技術初階,星期一,12月06日,晚上,7:00-10:00,全期12課,1小時30分,820元,738元,可接受報名
NK30148CQ,電工技術進階,星期六,10月30日,上午,10:00-5:00,全期12課,1小時30分,840元,756元,網上名額已滿
NK30153AQ,樓宇低壓配電系統設計初階,星期日,10月17日,上午,10:00-5:00,全期6課,3小時,790元,711元,可接受報名
LV30158,電力工程測試及儀表使用課程,星期日,10月24日,上午,10:00-12:30,全期6課,2小時30分,790元,711元,可接受報名
KV30161,家庭電器保養知識初階,星期四,12月02日,晚上,7:00-10:00,全期6課,3小時,780元,702元,網上名額已滿
NK30162C,家居裝修電工佈線訓練班,星期日,11月14日,上午,10:00-5:00,全期3課,6小時,980元,882元,可接受報名
KJ30171B,冷氣機(分體式)維修實習班,星期五,10月22日,晚上,7:00-10:00,全期4課,3小時,1140元,1026元,網上名額已滿
KJ30176,空調製冷設備技工(獨立系統)大工 *,星期一,三,10月18日,晚上,7:00-10:15,全期6課,3小時15分,2710元,2439元,課程已取消
KB30179B,電單車保養檢修知識班,星期三,10月27日,晚上,7:30-9:30,全期6課,2小時,700元,630元,可接受報名
KB30179E,電單車保養檢修知識班,星期六,10月23日,下午,2:30-4:30,全期6課,2小時,700元,630元,可接受報名
KB30183E,汽車保養檢修知識速成班,星期五,10月29日,晚上,7:00-10:00,全期6課,3小時,1310元,1179元,網上名額已滿
NK30183B,汽車保養檢修知識速成班,星期四,11月18日,晚上,7:00-10:00,全期6課,3小時,1310元,1179元,可接受報名
NK30162B,家居裝修電工佈線訓練班,星期六,12月04日,上午,10:00-5:00,全期3課,6小時,980元,882元,可接受報名
NK30166C,冷氣機維修知識,星期五,11月12日,下午,2:00-5:00,全期6課,3小時,850元,765元,可接受報名
NK30171B,冷氣機(分體式)維修實習班,星期六,11月20日,晚上,7:00-10:00,全期4課,3小時,1140元,1026元,可接受報名
KV30177,飲食業裝修工程知識入門,星期日,12月05日,下午,1:15-6:15,全期2課,5小時,510元,459元,網上名額已滿
KB30179C,電單車保養檢修知識班,星期四,10月28日,晚上,7:30-9:30,全期6課,2小時,700元,630元,可接受報名
KB30183A,汽車保養檢修知識速成班,星期一,10月18日,晚上,7:00-10:00,全期6課,3小時,1310元,1179元,網上名額已滿
KB30183H,汽車保養檢修知識速成班,星期日,10月24日,上午,9:30-12:30,全期6課,3小時,1310元,1179元,網上名額已滿
NK30183CQ,汽車保養檢修知識速成班,星期日,10月24日,上午,10:00-5:00,全期6課,3小時,1310元,1179元,網上名額已滿
KB30186,汽車保養檢修知識進階,星期二,10月26日,晚上,7:00-9:30,全期4課,2小時30分,790元,711元,網上名額已滿
NK30193B,貨車吊機新手操作員訓練課程,星期一,二,三,四,五,10月18日,上午,9:00-5:00,全期14課,7小時,9500元,8550元,網上名額已滿
KD30194AA,氣體焊接安全訓練課程,星期日,10月31日,上午,9:00-5:00,全期1課,7小時,300元,270元,可接受報名
